,postal_code,State,City,CountyName,2021
131,87114,NM,Albuquerque,Bernalillo County,291651.0
132,32210,FL,Jacksonville,Duval County,192699.0
133,43081,OH,Westerville,Franklin County,296114.0
134,94558,CA,Napa,Napa County,844874.0
135,90026,CA,Los Angeles,Los Angeles County,1110059.0
136,76063,TX,Mansfield,Tarrant County,360692.0
137,77459,TX,Missouri City,Fort Bend County,333165.0
138,91910,CA,Chula Vista,San Diego County,697167.0
139,27587,NC,Wake Forest,Wake County,423672.0
140,30040,GA,Cumming,Forsyth County,441099.0
141,93722,CA,Fresno,Fresno County,335377.0
142,97229,OR,Portland,Multnomah County,689446.0
143,6010,CT,Bristol,Hartford County,229997.0
144,17603,PA,Lancaster Township,Lancaster County,233315.0
145,76028,TX,Burleson,Johnson County,291132.0
146,33908,FL,Fort Myers,Lee County,320602.0
147,43123,OH,Grove City,Franklin County,258043.0
148,75056,TX,The Colony,Denton County,400478.0
149,89108,NV,Las Vegas,Clark County,292066.0
150,85308,AZ,Glendale,Maricopa County,410693.0
151,78577,TX,Pharr,Hidalgo County,127485.0
152,78240,TX,San Antonio,Bexar County,242698.0
153,94533,CA,Fairfield,Solano County,501342.0
154,87111,NM,Albuquerque,Bernalillo County,344618.0
155,14850,NY,Town Of Ithaca,Tompkins County,300223.0
156,33024,FL,Pembroke Pines,Broward County,360282.0
157,98012,WA,Bothell,Snohomish County,808495.0
158,48180,MI,Taylor,Wayne County,141610.0
159,77845,TX,College Station,Brazos County,290450.0
160,30318,GA,Atlanta,Fulton County,326859.0
161,44060,OH,Mentor,Lake County,223460.0
162,85364,AZ,Yuma,Yuma County,203864.0
163,95608,CA,Carmichael,Sacramento County,541026.0
164,43055,OH,Newark,Licking County,179865.0
165,11385,NY,New York,Queens County,727159.0
166,33647,FL,Tampa,Hillsborough County,386891.0
167,92677,CA,Laguna Niguel,Orange County,1085912.0
168,44256,OH,Medina,Medina County,290379.0
169,2148,MA,Malden,Middlesex County,568691.0
170,15601,PA,Greensburg,Westmoreland County,228370.0
171,80013,CO,Aurora,Arapahoe County,455091.0
172,90066,CA,Los Angeles,Los Angeles County,1681414.0
173,20906,MD,Silver Spring,Montgomery County,404993.0
174,47906,IN,West Lafayette,Tippecanoe County,284118.0
175,65807,MO,Springfield,Greene County,175707.0
176,6902,CT,Stamford,Fairfield County,459888.0
177,45011,OH,Hamilton,Butler County,273182.0
178,30188,GA,Woodstock,Cherokee County,352414.0
179,92336,CA,Fontana,San Bernardino County,599630.0
180,99301,WA,Pasco,Franklin County,347095.0
181,10468,NY,New York,Bronx County,329332.0
182,11373,NY,New York,Queens County,574806.0
183,65203,MO,Columbia,Boone County,283224.0
184,28078,NC,Huntersville,Mecklenburg County,406554.0
185,60620,IL,Chicago,Cook County,192431.0
186,46307,IN,Crown Point,Lake County,289772.0
187,95823,CA,Sacramento,Sacramento County,396585.0
188,92345,CA,Hesperia,San Bernardino County,357709.0
189,27610,NC,Raleigh,Wake County,266680.0
190,34135,FL,Bonita Springs,Lee County,369036.0
191,87120,NM,Albuquerque,Bernalillo County,272191.0
192,27410,NC,Greensboro,Guilford County,290500.0
193,75035,TX,Frisco,Collin County,516319.0
194,98103,WA,Seattle,King County,925153.0
195,77450,TX,Cinco Ranch,Fort Bend County,312260.0
196,95747,CA,Roseville,Placer County,620771.0
197,89121,NV,Las Vegas,Clark County,292524.0
198,27406,NC,Greensboro,Guilford County,169578.0
199,92804,CA,Anaheim,Orange County,757140.0
200,8753,NJ,Toms River,Ocean County,368743.0
201,75228,TX,Dallas,Dallas County,250990.0
202,92126,CA,San Diego,San Diego County,824468.0
203,10028,NY,New York,New York County,1419942.0
204,60634,IL,Chicago,Cook County,338543.0
205,20011,DC,Washington,District of Columbia,772616.0
206,43130,OH,Lancaster,Fairfield County,196791.0
207,76244,TX,Fort Worth,Tarrant County,336273.0
208,92503,CA,Riverside,Riverside County,532934.0
209,91911,CA,Chula Vista,San Diego County,653270.0
210,29732,SC,Rock Hill,York County,271921.0
211,32218,FL,Jacksonville,Duval County,250645.0
212,22191,VA,Woodbridge,Prince William County,398634.0
213,28314,NC,Fayetteville,Cumberland County,154218.0
214,32256,FL,Jacksonville,Duval County,272530.0
215,11233,NY,New York,Kings County,884706.0
216,23320,VA,Chesapeake,Chesapeake City,302055.0
217,40475,KY,Richmond,Madison County,223301.0
218,21740,MD,Hagerstown,Washington County,218914.0
219,92101,CA,San Diego,San Diego County,702690.0
220,90019,CA,Los Angeles,Los Angeles County,1318275.0
221,34711,FL,Clermont,Lake County,341642.0
222,30052,GA,Loganville,Gwinnett County,307287.0
223,38401,TN,Columbia,Maury County,282009.0
224,77095,TX,Houston,Harris County,277873.0
225,7002,NJ,Bayonne,Hudson County,450375.0
226,30041,GA,Cumming,Forsyth County,482003.0
227,60016,IL,Des Plaines,Cook County,293841.0
228,33009,FL,Hallandale,Broward County,244429.0
229,94536,CA,Fremont,Alameda County,1314853.0
230,89052,NV,Henderson,Clark County,525433.0
231,74012,OK,Broken Arrow,Tulsa County,203015.0
232,10457,NY,New York,Bronx County,516346.0
233,80634,CO,Greeley,Weld County,415224.0
234,43026,OH,Hilliard,Franklin County,302133.0
235,92592,CA,Temecula,Riverside County,646644.0
236,43230,OH,Gahanna,Franklin County,277045.0
237,89117,NV,Las Vegas,Clark County,410781.0
238,30080,GA,Smyrna,Cobb County,377099.0
239,20001,DC,Washington,District of Columbia,745388.0
240,27834,NC,Greenville,Pitt County,141848.0
241,90280,CA,South Gate,Los Angeles County,558567.0
242,29072,SC,Lexington,Lexington County,274206.0
243,46227,IN,Indianapolis,Marion County,195145.0
244,32244,FL,Jacksonville,Duval County,221797.0
245,21117,MD,Owings Mills,Baltimore County,318609.0
246,10027,NY,New York,New York County,824241.0
247,19111,PA,Philadelphia,Philadelphia County,250754.0
248,90201,CA,Bell,Los Angeles County,551369.0
249,91730,CA,Rancho Cucamonga,San Bernardino County,573875.0
250,48103,MI,Ann Arbor,Washtenaw County,436045.0
251,11236,NY,New York,Kings County,599821.0
252,75206,TX,Dallas,Dallas County,494644.0
253,90004,CA,Los Angeles,Los Angeles County,1547552.0
254,37128,TN,Murfreesboro,Rutherford County,346719.0
255,92109,CA,San Diego,San Diego County,1222636.0
256,30062,GA,Marietta,Cobb County,430576.0
257,60628,IL,Chicago,Cook County,150054.0
258,7093,NJ,West New York,Hudson County,363453.0
259,32822,FL,Orlando,Orange County,219902.0
260,30331,GA,Atlanta,Fulton County,243061.0
261,75217,TX,Dallas,Dallas County,177963.0
262,2360,MA,Plymouth,Plymouth County,485291.0
263,34953,FL,Port Saint Lucie,Saint Lucie County,317162.0
264,37130,TN,Murfreesboro,Rutherford County,292265.0
265,33186,FL,The Crossings,Miami-Dade County,392867.0
266,2155,MA,Medford,Middlesex County,707639.0
267,10701,NY,Yonkers,Westchester County,561540.0
268,33012,FL,Hialeah,Miami-Dade County,302251.0
269,91342,CA,Los Angeles,Los Angeles County,676781.0
270,90706,CA,Bellflower,Los Angeles County,638842.0
271,92335,CA,Fontana,San Bernardino County,466332.0
272,95123,CA,San Jose,Santa Clara County,1217963.0
273,92021,CA,El Cajon,San Diego County,657566.0
274,32174,FL,Ormond Beach,Volusia County,320893.0
275,22304,VA,Alexandria,Alexandria City,416763.0
276,87121,NM,Albuquerque,Bernalillo County,209531.0
277,11372,NY,New York,Queens County,479910.0
278,22193,VA,Woodbridge,Prince William County,415272.0
279,93065,CA,Simi Valley,Ventura County,740222.0
280,27858,NC,Greenville,Pitt County,198851.0
281,45840,OH,Findlay,Hancock County,182058.0
282,60649,IL,Chicago,Cook County,174337.0
283,33063,FL,Margate,Broward County,243360.0
284,27703,NC,Durham,Durham County,313396.0
285,23454,VA,Virginia Beach,Virginia Beach City,358297.0
286,60626,IL,Chicago,Cook County,237164.0
287,33064,FL,Pompano Beach,Broward County,284898.0
288,48185,MI,Westland,Wayne County,186072.0
289,92627,CA,Costa Mesa,Orange County,1057786.0
290,33027,FL,Miramar,Broward County,371454.0
291,85705,AZ,Tucson,Pima County,217332.0
292,33311,FL,Fort Lauderdale,Broward County,276326.0
293,8831,NJ,Monroe Township,Middlesex County,433374.0
294,20147,VA,Ashburn,Loudoun County,636987.0
295,44130,OH,Parma Heights,Cuyahoga County,181948.0
296,90025,CA,Los Angeles,Los Angeles County,1124261.0
297,20878,MD,Gaithersburg,Montgomery County,624155.0
298,43228,OH,Columbus,Franklin County,180367.0
299,30022,GA,Johns Creek,Fulton County,514289.0
300,30004,GA,Milton,Fulton County,558749.0
301,23666,VA,Hampton,Hampton City,230263.0
302,85142,AZ,Queen Creek,Pinal County,481758.0
303,98682,WA,Vancouver,Clark County,439544.0
304,95035,CA,Milpitas,Santa Clara County,1286493.0
305,91710,CA,Chino,San Bernardino County,639390.0
306,90011,CA,Los Angeles,Los Angeles County,532176.0
307,23223,VA,Richmond,Richmond City,221834.0
308,11218,NY,New York,Kings County,966810.0
309,27713,NC,Durham,Durham County,348751.0
310,77082,TX,Houston,Harris County,224279.0
311,44077,OH,Painesville,Lake County,192001.0
312,94544,CA,Hayward,Alameda County,822554.0
313,43701,OH,Zanesville,Muskingum County,137034.0
314,29730,SC,Rock Hill,York County,220636.0
315,11223,NY,New York,Kings County,974640.0
316,60622,IL,Chicago,Cook County,552998.0
317,29464,SC,Mount Pleasant,Charleston County,601353.0
318,60616,IL,Chicago,Cook County,372413.0
319,27284,NC,Kernersville,Forsyth County,244518.0
320,35242,AL,Hoover,Jefferson County,434558.0
321,58103,ND,Fargo,Cass County,216663.0
322,80015,CO,Aurora,Arapahoe County,517470.0
323,20019,DC,Washington,District of Columbia,424831.0
324,55901,MN,Rochester,Olmsted County,273960.0
325,10021,NY,New York,New York County,1375745.0
326,80525,CO,Fort Collins,Larimer County,509136.0
327,30127,GA,Powder Springs,Cobb County,294920.0
328,97402,OR,Eugene,Lane County,358334.0
329,33313,FL,Lauderhill,Broward County,128591.0
330,71913,AR,Hot Springs,Garland County,211326.0
331,90027,CA,Los Angeles,Los Angeles County,1750495.0
332,37064,TN,Franklin,Williamson County,630652.0
333,37066,TN,Gallatin,Sumner County,350825.0
334,98115,WA,Seattle,King County,1000224.0
335,42101,KY,Bowling Green,Warren County,157345.0
336,93727,CA,Fresno,Fresno County,355386.0
337,94568,CA,Dublin,Alameda County,1226435.0
338,19124,PA,Philadelphia,Philadelphia County,150663.0
339,95051,CA,Santa Clara,Santa Clara County,1652058.0
340,91335,CA,Los Angeles,Los Angeles County,723301.0
341,95687,CA,Vacaville,Solano County,544809.0
342,32828,FL,Orlando,Orange County,374815.0
343,32225,FL,Jacksonville,Duval County,313654.0
344,76116,TX,Fort Worth,Tarrant County,258814.0
345,90731,CA,Los Angeles,Los Angeles County,751134.0
346,77840,TX,College Station,Brazos County,222368.0
347,77007,TX,Houston,Harris County,461418.0
348,85251,AZ,Scottsdale,Maricopa County,495646.0
349,23452,VA,Virginia Beach,Virginia Beach City,298630.0
350,75150,TX,Mesquite,Dallas County,227611.0
351,30253,GA,McDonough,Henry County,260551.0
352,37122,TN,Mount Juliet,Wilson County,424898.0
353,30135,GA,Douglasville,Douglas County,266830.0
354,73160,OK,Moore,Cleveland County,175402.0
355,89031,NV,North Las Vegas,Clark County,339846.0
356,93550,CA,Palmdale,Los Angeles County,378629.0
357,43068,OH,Reynoldsburg,Franklin County,234046.0
358,93536,CA,Lancaster,Los Angeles County,476030.0
359,29681,SC,Simpsonville,Greenville County,307301.0
360,60615,IL,Chicago,Cook County,281652.0
361,7087,NJ,Union City,Hudson County,442147.0
362,40601,KY,Frankfort,Franklin County,178364.0
363,33319,FL,Lauderhill,Broward County,165783.0
364,78501,TX,McAllen,Hidalgo County,153771.0
365,98122,WA,Seattle,King County,894108.0
366,21215,MD,Baltimore,Baltimore City,167363.0
367,63123,MO,Affton,Saint Louis County,198744.0
368,14580,NY,Town of Webster,Monroe County,268415.0
369,92630,CA,Lake Forest,Orange County,901128.0
370,66061,KS,Olathe,Johnson County,327356.0
371,14221,NY,Town Of Amherst,Erie County,314388.0
372,23451,VA,Virginia Beach,Virginia Beach City,504267.0
373,94509,CA,Antioch,Contra Costa County,543320.0
374,11225,NY,New York,Kings County,1318302.0
375,11208,NY,New York,Kings County,608919.0
376,95758,CA,Elk Grove,Sacramento County,537949.0
377,93306,CA,Bakersfield,Kern County,277254.0
378,60641,IL,Chicago,Cook County,368007.0
379,45601,OH,Chillicothe,Ross County,148325.0
380,78249,TX,San Antonio,Bexar County,274508.0
381,89123,NV,Las Vegas,Clark County,379759.0
382,21122,MD,Pasadena,Anne Arundel County,384811.0
