,postal_code,State,City,CountyName,2016,2017,2018,2019,2020,2021
84,11214,NY,New York,Kings County,578594,613181,651894,666563,663439,689918
85,28027,NC,Concord,Cabarrus County,207879,224767,240280,252540,270137,325519
86,11207,NY,New York,Kings County,384461,420007,443211,467087,500899,536449
87,94501,CA,Alameda,Alameda County,885247,954962,1031575,1035648,1092039,1275492
88,2169,MA,Quincy,Norfolk County,381670,411640,444163,457053,486382,537019
89,33411,FL,Royal Palm Beach,Palm Beach County,262843,279922,296159,304285,317416,375408
90,11229,NY,New York,Kings County,601800,649875,692055,721285,728105,755959
91,60619,IL,Chicago,Cook County,130144,146216,153931,162287,160115,187910
92,78745,TX,Austin,Travis County,288303,305179,321842,338865,375177,506879
93,94110,CA,San Francisco,San Francisco County,1384496,1422655,1550656,1548875,1550416,1562304
94,23462,VA,Virginia Beach,Virginia Beach City,197799,202432,207488,212363,226882,254807
95,33025,FL,Miramar,Broward County,211316,228947,245195,256150,268981,306355
96,10458,NY,New York,Bronx County,322372,349480,370269,418752,396152,483518
97,75067,TX,Lewisville,Denton County,216149,235788,253440,259575,269833,319177
98,90034,CA,Los Angeles,Los Angeles County,1057974,1147348,1289455,1326173,1437268,1534994
99,80134,CO,Parker,Douglas County,450102,476844,505874,518060,538718,650681
100,33139,FL,Miami Beach,Miami-Dade County,355977,346192,331368,321545,317715,347454
101,60611,IL,Chicago,Cook County,485136,494386,489438,475783,475683,481895
102,95630,CA,Folsom,Sacramento County,488140,522056,552650,568615,600000,711346
103,48197,MI,Ypsilanti,Washtenaw County,196071,210209,227619,240989,248832,277182
104,44107,OH,Lakewood,Cuyahoga County,142099,157974,176134,194014,211749,249043
105,66062,KS,Olathe,Johnson County,242829,255674,269774,278506,294727,337436
106,11211,NY,New York,Kings County,951702,954399,983304,1006192,1022656,1059108
107,44035,OH,Elyria,Lorain County,92484,98343,103941,111519,120657,139417
108,85281,AZ,Tempe,Maricopa County,207585,222311,240696,255232,286040,362862
109,11377,NY,New York,Queens County,683000,747532,782217,787069,796323,798203
110,10453,NY,New York,Bronx County,363350,400662,464530,530963,576101,643215
111,90805,CA,Long Beach,Los Angeles County,397740,428547,467037,477381,517058,602007
112,7302,NJ,Jersey City,Hudson County,726206,785412,810925,781113,769340,791845
113,90650,CA,Norwalk,Los Angeles County,419882,448578,481122,486297,522402,604406
114,90044,CA,Los Angeles,Los Angeles County,358705,395902,435767,455939,508324,581706
115,85710,AZ,Tucson,Pima County,147910,159605,171949,183086,203726,261059
116,92683,CA,Westminster,Orange County,607829,641658,683247,695138,738057,852834
117,85225,AZ,Chandler,Maricopa County,217300,232801,251973,266977,298670,376227
118,11234,NY,New York,Kings County,546166,579784,623635,637247,647000,682159
119,30281,GA,Stockbridge,Henry County,141493,152310,163672,175719,192555,237064
120,37075,TN,Hendersonville,Sumner County,262630,284872,307994,317425,324032,390283
121,11355,NY,New York,Queens County,582740,633019,690854,698538,688827,686997
122,11238,NY,New York,Kings County,1250874,1210647,1226122,1250303,1165721,1118798
123,78641,TX,Leander,Williamson County,272015,287483,296396,309888,317473,456083
124,10314,NY,New York,Richmond County,446067,500424,550746,552992,552300,588293
125,19143,PA,Philadelphia,Philadelphia County,79676,84604,107379,126181,150196,174389
126,79938,TX,El Paso,El Paso County,150624,153813,153763,159769,165938,190519
127,91709,CA,Chino Hills,San Bernardino County,602167,637526,672352,679031,707655,826007
128,11215,NY,New York,Kings County,1468841,1445864,1407639,1424887,1336912,1357129
129,10452,NY,New York,Bronx County,403208,400500,428925,396516,380941,399570
130,60617,IL,Chicago,Cook County,108787,120362,127784,132345,137612,161015
131,87114,NM,Albuquerque,Bernalillo County,202665,209634,216963,227597,247066,291651
132,32210,FL,Jacksonville,Duval County,117201,128517,140521,150855,161664,192699
133,43081,OH,Westerville,Franklin County,195653,213347,227815,241643,259183,296114
134,94558,CA,Napa,Napa County,637790,665786,700498,715274,727876,844874
135,90026,CA,Los Angeles,Los Angeles County,759160,828586,907077,926378,987489,1110059
136,76063,TX,Mansfield,Tarrant County,244297,265432,283278,292817,304272,360692
137,77459,TX,Missouri City,Fort Bend County,274244,277954,280581,281675,286024,333165
138,91910,CA,Chula Vista,San Diego County,446019,475872,504269,519211,562304,697167
139,27587,NC,Wake Forest,Wake County,300158,312021,323973,334734,348348,423672
140,30040,GA,Cumming,Forsyth County,303036,316750,333604,342279,358071,441099
141,93722,CA,Fresno,Fresno County,216542,233899,252489,263075,279459,335377
142,97229,OR,Portland,Multnomah County,525699,552764,567862,576255,598045,689446
143,6010,CT,Bristol,Hartford County,174200,181350,183716,187550,196877,229997
144,17603,PA,Lancaster Township,Lancaster County,153878,162128,176091,184505,197842,233315
145,76028,TX,Burleson,Johnson County,190477,210482,229577,241491,249882,291132
146,33908,FL,Fort Myers,Lee County,255143,257901,261599,262116,267380,320602
147,43123,OH,Grove City,Franklin County,164267,178577,191069,204242,222926,258043
148,75056,TX,The Colony,Denton County,283512,305577,319386,323512,335651,400478
149,89108,NV,Las Vegas,Clark County,159455,176955,215041,233012,242618,292066
150,85308,AZ,Glendale,Maricopa County,248173,261097,278836,291795,322118,410693
151,78577,TX,Pharr,Hidalgo County,90124,94279,99967,104177,112362,127485
152,78240,TX,San Antonio,Bexar County,171552,182152,189733,198477,206586,242698
153,94533,CA,Fairfield,Solano County,330100,365223,396888,407550,424238,501342
154,87111,NM,Albuquerque,Bernalillo County,249711,254765,262815,276291,299028,344618
155,14850,NY,Town Of Ithaca,Tompkins County,250613,261342,268236,264367,275730,300223
156,33024,FL,Pembroke Pines,Broward County,234566,255564,277767,294336,310121,360282
157,98012,WA,Bothell,Snohomish County,463765,527284,593816,596208,640284,808495
158,48180,MI,Taylor,Wayne County,81678,89796,101692,108916,120716,141610
159,77845,TX,College Station,Brazos County,247240,262645,274471,276949,269369,290450
160,30318,GA,Atlanta,Fulton County,185663,208065,237561,262068,280439,326859
161,44060,OH,Mentor,Lake County,164264,171261,176740,186791,197055,223460
162,85364,AZ,Yuma,Yuma County,127703,136395,143456,150601,164110,203864
163,95608,CA,Carmichael,Sacramento County,354528,381569,407005,416547,451443,541026
164,43055,OH,Newark,Licking County,121317,118625,133795,144754,152877,179865
165,11385,NY,New York,Queens County,607643,658332,692146,696465,700674,727159
166,33647,FL,Tampa,Hillsborough County,268218,281943,295287,304115,316254,386891
167,92677,CA,Laguna Niguel,Orange County,810959,844652,878803,875958,909459,1085912
168,44256,OH,Medina,Medina County,211675,221181,233271,244138,258711,290379
169,2148,MA,Malden,Middlesex County,385737,427278,466455,479718,506309,568691
170,15601,PA,Greensburg,Westmoreland County,182303,182288,190962,194412,205134,228370
171,80013,CO,Aurora,Arapahoe County,298371,326600,350381,363933,384186,455091
172,90066,CA,Los Angeles,Los Angeles County,1235110,1328540,1467921,1470132,1572042,1681414
173,20906,MD,Silver Spring,Montgomery County,315970,328426,343551,353703,367707,404993
174,47906,IN,West Lafayette,Tippecanoe County,199562,212468,223018,232090,248552,284118
175,65807,MO,Springfield,Greene County,115001,120893,129671,138522,150472,175707
176,6902,CT,Stamford,Fairfield County,394678,396794,404969,403708,412854,459888
177,45011,OH,Hamilton,Butler County,182779,194944,207673,220709,233930,273182
178,30188,GA,Woodstock,Cherokee County,229679,242040,261529,278194,293700,352414
179,92336,CA,Fontana,San Bernardino County,403195,424235,454307,465555,493698,599630
180,99301,WA,Pasco,Franklin County,199450,220266,244282,269058,293859,347095
181,10468,NY,New York,Bronx County,215424,248788,265010,289710,299231,329332
182,11373,NY,New York,Queens County,484437,523785,565697,568950,559296,574806
183,65203,MO,Columbia,Boone County,219722,228155,230563,236091,249270,283224
184,28078,NC,Huntersville,Mecklenburg County,281106,298084,313955,322690,339679,406554
185,60620,IL,Chicago,Cook County,138274,149799,156995,157416,162429,192431
186,46307,IN,Crown Point,Lake County,206708,216251,229168,242717,254927,289772
187,95823,CA,Sacramento,Sacramento County,239390,262647,284549,295517,321535,396585
188,92345,CA,Hesperia,San Bernardino County,216901,238854,260056,271020,290423,357709
189,27610,NC,Raleigh,Wake County,155710,168023,183236,198647,213181,266680
190,34135,FL,Bonita Springs,Lee County,294135,297030,299261,299702,306322,369036
191,87120,NM,Albuquerque,Bernalillo County,187606,194548,200966,211087,230440,272191
