postal_code,City,State,CountyName,2021,total_restaurants,total_reviews,avg_rating,total_delivery,total_pickup,total_rest_reservation,total_price_1,total_price_2,total_price_3,total_price_4,total_0.0_stars,total_1.0_stars,total_1.5_stars,total_2.0_stars,total_2.5_stars,total_3.0_stars,total_3.5_stars,total_4.0_stars,total_4.5_stars,total_5.0_stars,num_rest_types
16436.0,Spring Creek Township,PA,Warren County,75367.0,1,3.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3
16438.0,Canadohta Lake,PA,Crawford County,124857.0,1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
16442.0,Venango Township,PA,Erie County,208271.0,1,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
16501.0,Erie,PA,Erie County,119405.0,41,1284.0,3.52439024390244,32.0,8.0,0.0,12.0,12.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,6.0,7.0,8.0,8.0,4.0,40
16502.0,Erie,PA,Erie County,78429.0,13,524.0,4.07692307692308,8.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,3.0,4.0,17
16503.0,Erie,PA,Erie County,39855.0,13,147.0,3.57692307692308,11.0,5.0,0.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,19
16504.0,Erie,PA,Erie County,101676.0,13,114.0,3.26923076923077,13.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,10
16505.0,Millcreek Township,PA,Erie County,172529.0,48,1782.0,3.5625,39.0,11.0,0.0,19.0,16.0,1.0,0.0,0.0,0.0,0.0,4.0,9.0,3.0,6.0,17.0,5.0,4.0,32
16506.0,Millcreek Township,PA,Erie County,207122.0,17,390.0,3.58823529411765,15.0,5.0,0.0,7.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,7.0,1.0,1.0,16
16507.0,Erie,PA,Erie County,57789.0,16,1140.0,3.46875,12.0,4.0,0.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,4.0,1.0,1.0,18
16508.0,Erie,PA,Erie County,110935.0,21,825.0,3.76190476190476,17.0,6.0,0.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,7.0,1.0,3.0,22
16509.0,Millcreek Township,PA,Erie County,191480.0,47,1904.0,3.3936170212766,37.0,19.0,1.0,17.0,21.0,2.0,1.0,0.0,1.0,0.0,6.0,2.0,8.0,16.0,6.0,5.0,3.0,31
16510.0,Erie,PA,Erie County,143940.0,33,584.0,3.1969696969697,25.0,11.0,0.0,13.0,11.0,1.0,0.0,0.0,2.0,2.0,2.0,6.0,2.0,8.0,6.0,3.0,2.0,29
16511.0,Erie,PA,Erie County,136455.0,10,169.0,3.7,8.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,13
16601.0,Altoona,PA,Blair County,108924.0,22,492.0,2.97727272727273,1.0,1.0,0.0,6.0,5.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,8.0,5.0,4.0,1.0,0.0,18
16602.0,Altoona,PA,Blair County,103112.0,36,800.0,3.41666666666667,5.0,7.0,0.0,13.0,11.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,5.0,8.0,8.0,4.0,3.0,31
16611.0,Porter Township,PA,Huntingdon County,169714.0,1,8.0,3.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
16613.0,Gallitzin Township,PA,Cambria County,121949.0,2,3.0,4.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2
16623.0,Cass Township,PA,Huntingdon County,154450.0,1,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
16625.0,Greenfield Township,PA,Blair County,107651.0,4,17.0,3.25,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8
16630.0,Cresson Township,PA,Cambria County,104480.0,11,102.0,3.86363636363636,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,12
16635.0,Allegheny Township,PA,Blair County,193334.0,16,199.0,3.1875,1.0,2.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,4.0,1.0,2.0,1.0,18
16637.0,Freedom Township,PA,Blair County,135534.0,3,25.0,3.33333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4
16638.0,Lincoln Township,PA,Huntingdon County,137878.0,2,17.0,3.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2
16641.0,Gallitzin Township,PA,Cambria County,82679.0,3,23.0,2.83333333333333,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5
