,postal_code,State,City,CountyName,2021
143,6010,CT,Bristol,Hartford County,229997
144,17603,PA,Lancaster Township,Lancaster County,233315
145,76028,TX,Burleson,Johnson County,291132
146,33908,FL,Fort Myers,Lee County,320602
147,43123,OH,Grove City,Franklin County,258043
148,75056,TX,The Colony,Denton County,400478
149,89108,NV,Las Vegas,Clark County,292066
150,85308,AZ,Glendale,Maricopa County,410693
151,78577,TX,Pharr,Hidalgo County,127485
152,78240,TX,San Antonio,Bexar County,242698
153,94533,CA,Fairfield,Solano County,501342
154,87111,NM,Albuquerque,Bernalillo County,344618
155,14850,NY,Town Of Ithaca,Tompkins County,300223
156,33024,FL,Pembroke Pines,Broward County,360282
157,98012,WA,Bothell,Snohomish County,808495
158,48180,MI,Taylor,Wayne County,141610
159,77845,TX,College Station,Brazos County,290450
160,30318,GA,Atlanta,Fulton County,326859
161,44060,OH,Mentor,Lake County,223460
162,85364,AZ,Yuma,Yuma County,203864
163,95608,CA,Carmichael,Sacramento County,541026
164,43055,OH,Newark,Licking County,179865
165,11385,NY,New York,Queens County,727159
166,33647,FL,Tampa,Hillsborough County,386891
167,92677,CA,Laguna Niguel,Orange County,1085912
168,44256,OH,Medina,Medina County,290379
169,2148,MA,Malden,Middlesex County,568691
170,15601,PA,Greensburg,Westmoreland County,228370
171,80013,CO,Aurora,Arapahoe County,455091
172,90066,CA,Los Angeles,Los Angeles County,1681414
173,20906,MD,Silver Spring,Montgomery County,404993
174,47906,IN,West Lafayette,Tippecanoe County,284118
175,65807,MO,Springfield,Greene County,175707
176,6902,CT,Stamford,Fairfield County,459888
177,45011,OH,Hamilton,Butler County,273182
178,30188,GA,Woodstock,Cherokee County,352414
179,92336,CA,Fontana,San Bernardino County,599630
180,99301,WA,Pasco,Franklin County,347095
181,10468,NY,New York,Bronx County,329332
182,11373,NY,New York,Queens County,574806
183,65203,MO,Columbia,Boone County,283224
184,28078,NC,Huntersville,Mecklenburg County,406554
185,60620,IL,Chicago,Cook County,192431
186,46307,IN,Crown Point,Lake County,289772
187,95823,CA,Sacramento,Sacramento County,396585
188,92345,CA,Hesperia,San Bernardino County,357709
189,27610,NC,Raleigh,Wake County,266680
190,34135,FL,Bonita Springs,Lee County,369036
191,87120,NM,Albuquerque,Bernalillo County,272191
192,27410,NC,Greensboro,Guilford County,290500
193,75035,TX,Frisco,Collin County,516319
194,98103,WA,Seattle,King County,925153
195,77450,TX,Cinco Ranch,Fort Bend County,312260
196,95747,CA,Roseville,Placer County,620771
197,89121,NV,Las Vegas,Clark County,292524
198,27406,NC,Greensboro,Guilford County,169578
199,92804,CA,Anaheim,Orange County,757140
200,8753,NJ,Toms River,Ocean County,368743
201,75228,TX,Dallas,Dallas County,250990
202,92126,CA,San Diego,San Diego County,824468
203,10028,NY,New York,New York County,1419942
204,60634,IL,Chicago,Cook County,338543
205,20011,DC,Washington,District of Columbia,772616
206,43130,OH,Lancaster,Fairfield County,196791
207,76244,TX,Fort Worth,Tarrant County,336273
208,92503,CA,Riverside,Riverside County,532934
209,91911,CA,Chula Vista,San Diego County,653270
210,29732,SC,Rock Hill,York County,271921
211,32218,FL,Jacksonville,Duval County,250645
212,22191,VA,Woodbridge,Prince William County,398634
213,28314,NC,Fayetteville,Cumberland County,154218
214,32256,FL,Jacksonville,Duval County,272530
215,11233,NY,New York,Kings County,884706
216,23320,VA,Chesapeake,Chesapeake City,302055
217,40475,KY,Richmond,Madison County,223301
218,21740,MD,Hagerstown,Washington County,218914
219,92101,CA,San Diego,San Diego County,702690
220,90019,CA,Los Angeles,Los Angeles County,1318275
221,34711,FL,Clermont,Lake County,341642
222,30052,GA,Loganville,Gwinnett County,307287
223,38401,TN,Columbia,Maury County,282009
224,77095,TX,Houston,Harris County,277873
225,7002,NJ,Bayonne,Hudson County,450375
226,30041,GA,Cumming,Forsyth County,482003
227,60016,IL,Des Plaines,Cook County,293841
228,33009,FL,Hallandale,Broward County,244429
229,94536,CA,Fremont,Alameda County,1314853
230,89052,NV,Henderson,Clark County,525433
231,74012,OK,Broken Arrow,Tulsa County,203015
232,10457,NY,New York,Bronx County,516346
233,80634,CO,Greeley,Weld County,415224
234,43026,OH,Hilliard,Franklin County,302133
235,92592,CA,Temecula,Riverside County,646644
236,43230,OH,Gahanna,Franklin County,277045
237,89117,NV,Las Vegas,Clark County,410781
238,30080,GA,Smyrna,Cobb County,377099
239,20001,DC,Washington,District of Columbia,745388
240,27834,NC,Greenville,Pitt County,141848
241,90280,CA,South Gate,Los Angeles County,558567
242,29072,SC,Lexington,Lexington County,274206
243,46227,IN,Indianapolis,Marion County,195145
244,32244,FL,Jacksonville,Duval County,221797
245,21117,MD,Owings Mills,Baltimore County,318609
246,10027,NY,New York,New York County,824241
247,19111,PA,Philadelphia,Philadelphia County,250754
248,90201,CA,Bell,Los Angeles County,551369
249,91730,CA,Rancho Cucamonga,San Bernardino County,573875
250,48103,MI,Ann Arbor,Washtenaw County,436045
251,11236,NY,New York,Kings County,599821
252,75206,TX,Dallas,Dallas County,494644
253,90004,CA,Los Angeles,Los Angeles County,1547552
254,37128,TN,Murfreesboro,Rutherford County,346719
255,92109,CA,San Diego,San Diego County,1222636
256,30062,GA,Marietta,Cobb County,430576
257,60628,IL,Chicago,Cook County,150054
258,7093,NJ,West New York,Hudson County,363453
259,32822,FL,Orlando,Orange County,219902
260,30331,GA,Atlanta,Fulton County,243061
261,75217,TX,Dallas,Dallas County,177963
262,2360,MA,Plymouth,Plymouth County,485291
263,34953,FL,Port Saint Lucie,Saint Lucie County,317162
264,37130,TN,Murfreesboro,Rutherford County,292265
265,33186,FL,The Crossings,Miami-Dade County,392867
266,2155,MA,Medford,Middlesex County,707639
267,10701,NY,Yonkers,Westchester County,561540
268,33012,FL,Hialeah,Miami-Dade County,302251
269,91342,CA,Los Angeles,Los Angeles County,676781
270,90706,CA,Bellflower,Los Angeles County,638842
271,92335,CA,Fontana,San Bernardino County,466332
272,95123,CA,San Jose,Santa Clara County,1217963
273,92021,CA,El Cajon,San Diego County,657566
274,32174,FL,Ormond Beach,Volusia County,320893
275,22304,VA,Alexandria,Alexandria City,416763
276,87121,NM,Albuquerque,Bernalillo County,209531
277,11372,NY,New York,Queens County,479910
278,22193,VA,Woodbridge,Prince William County,415272
279,93065,CA,Simi Valley,Ventura County,740222
280,27858,NC,Greenville,Pitt County,198851
281,45840,OH,Findlay,Hancock County,182058
282,60649,IL,Chicago,Cook County,174337
283,33063,FL,Margate,Broward County,243360
284,27703,NC,Durham,Durham County,313396
285,23454,VA,Virginia Beach,Virginia Beach City,358297
286,60626,IL,Chicago,Cook County,237164
287,33064,FL,Pompano Beach,Broward County,284898
288,48185,MI,Westland,Wayne County,186072
289,92627,CA,Costa Mesa,Orange County,1057786
290,33027,FL,Miramar,Broward County,371454
291,85705,AZ,Tucson,Pima County,217332
292,33311,FL,Fort Lauderdale,Broward County,276326
293,8831,NJ,Monroe Township,Middlesex County,433374
294,20147,VA,Ashburn,Loudoun County,636987
295,44130,OH,Parma Heights,Cuyahoga County,181948
296,90025,CA,Los Angeles,Los Angeles County,1124261
297,20878,MD,Gaithersburg,Montgomery County,624155
298,43228,OH,Columbus,Franklin County,180367
299,30022,GA,Johns Creek,Fulton County,514289
300,30004,GA,Milton,Fulton County,558749
301,23666,VA,Hampton,Hampton City,230263
302,85142,AZ,Queen Creek,Pinal County,481758
303,98682,WA,Vancouver,Clark County,439544
304,95035,CA,Milpitas,Santa Clara County,1286493
305,91710,CA,Chino,San Bernardino County,639390
306,90011,CA,Los Angeles,Los Angeles County,532176
307,23223,VA,Richmond,Richmond City,221834
308,11218,NY,New York,Kings County,966810
309,27713,NC,Durham,Durham County,348751
310,77082,TX,Houston,Harris County,224279
311,44077,OH,Painesville,Lake County,192001
312,94544,CA,Hayward,Alameda County,822554
313,43701,OH,Zanesville,Muskingum County,137034
314,29730,SC,Rock Hill,York County,220636
315,11223,NY,New York,Kings County,974640
316,60622,IL,Chicago,Cook County,552998
317,29464,SC,Mount Pleasant,Charleston County,601353
318,60616,IL,Chicago,Cook County,372413
319,27284,NC,Kernersville,Forsyth County,244518
320,35242,AL,Hoover,Jefferson County,434558
321,58103,ND,Fargo,Cass County,216663
322,80015,CO,Aurora,Arapahoe County,517470
323,20019,DC,Washington,District of Columbia,424831
324,55901,MN,Rochester,Olmsted County,273960
325,10021,NY,New York,New York County,1375745
326,80525,CO,Fort Collins,Larimer County,509136
327,30127,GA,Powder Springs,Cobb County,294920
328,97402,OR,Eugene,Lane County,358334
329,33313,FL,Lauderhill,Broward County,128591
330,71913,AR,Hot Springs,Garland County,211326
331,90027,CA,Los Angeles,Los Angeles County,1750495
332,37064,TN,Franklin,Williamson County,630652
333,37066,TN,Gallatin,Sumner County,350825
334,98115,WA,Seattle,King County,1000224
335,42101,KY,Bowling Green,Warren County,157345
336,93727,CA,Fresno,Fresno County,355386
337,94568,CA,Dublin,Alameda County,1226435
338,19124,PA,Philadelphia,Philadelphia County,150663
339,95051,CA,Santa Clara,Santa Clara County,1652058
340,91335,CA,Los Angeles,Los Angeles County,723301
341,95687,CA,Vacaville,Solano County,544809
