,zip_code,city,state,latitude,longitude,review_count,rating,categories,price,delivery,pickup,restaurant_reservation,price_value_1.0,price_value_2.0,price_value_3.0,price_value_4.0
417,07095,Woodbridge,NJ,40.55569,-74.27842,191,4.0,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",2.0,1,1,0,0,1,0,0
418,07065,Rahway,NJ,40.60819,-74.27356,161,3.5,"[{'alias': 'italian', 'title': 'Italian'}]",3.0,1,1,0,0,0,1,0
419,07036,Linden,NJ,40.6210863521863,-74.2462332268827,208,3.0,"[{'alias': 'tex-mex', 'title': 'Tex-Mex'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'mexican', 'title': 'Mexican'}]",2.0,1,0,0,0,1,0,0
420,08861,Perth Amboy,NJ,40.5110038579977,-74.2736339484357,110,3.0,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'portuguese', 'title': 'Portuguese'}, {'alias': 'lounges', 'title': 'Lounges'}]",2.0,1,0,0,0,1,0,0
421,07095,Woodbridge Township,NJ,40.554724,-74.277398,81,4.0,"[{'alias': 'mexican', 'title': 'Mexican'}]",1.0,1,0,0,1,0,0,0
422,10306,Staten Island,NY,40.5711299,-74.091494,16,4.0,"[{'alias': 'russian', 'title': 'Russian'}]",2.0,1,0,0,0,1,0,0
423,10302,Staten Island,NY,40.6247252,-74.1423442,158,4.0,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'irish', 'title': 'Irish'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",2.0,0,0,0,0,1,0,0
424,10306,Staten Island,NY,40.57215,-74.1131599,354,4.0,"[{'alias': 'italian', 'title': 'Italian'}]",2.0,1,0,0,0,1,0,0
425,11209,Brooklyn,NY,40.6241292388192,-74.0309519868987,178,4.5,"[{'alias': 'arabian', 'title': 'Arabic'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}]",2.0,1,1,0,0,1,0,0
426,11209,Brooklyn,NY,40.622950474895696,-74.03151550202998,28,4.5,"[{'alias': 'italian', 'title': 'Italian'}]",0.0,0,0,0,0,0,0,0
427,11209,Brooklyn,NY,40.6127378,-74.0339271,465,4.5,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}, {'alias': 'seafood', 'title': 'Seafood'}]",3.0,1,0,0,0,0,1,0
428,10306,Staten Island,NY,40.5724,-74.0927,17,4.5,"[{'alias': 'cantonese', 'title': 'Cantonese'}]",1.0,1,0,0,1,0,0,0
429,11209,Brooklyn,NY,40.619385,-74.027803,77,5.0,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",2.0,1,1,0,0,1,0,0
430,10306,Staten Island,NY,40.5737,-74.116305,45,4.0,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",1.0,1,1,0,1,0,0,0
