,postal_code,stars_1.0,stars_1.5,stars_2.0,stars_2.5,stars_3.0,stars_3.5,stars_4.0,stars_4.5,stars_5.0,total_stars,stars_1.0_ratio,ratio_stars_1.0,ratio_stars_1.5,ratio_stars_2.0,ratio_stars_2.5,ratio_stars_3.0,ratio_stars_3.5,ratio_stars_4.0,ratio_stars_4.5,ratio_stars_5.0
30,8049,0,0,0,3,1,2,1,1,0,8.0,0.0,0.0,0.0,0.0,0.375,0.125,0.25,0.125,0.125,0.0
31,8051,0,0,1,1,4,2,4,0,0,12.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.0
32,8052,0,2,4,2,5,12,8,6,1,40.0,0.0,0.0,0.05,0.1,0.05,0.125,0.3,0.2,0.15,0.025
33,8053,0,0,5,4,16,27,32,9,2,95.0,0.0,0.0,0.0,0.05263157894736842,0.042105263157894736,0.16842105263157894,0.28421052631578947,0.3368421052631579,0.09473684210526316,0.021052631578947368
34,8054,0,1,8,14,18,21,24,9,2,97.0,0.0,0.0,0.010309278350515464,0.08247422680412371,0.14432989690721648,0.18556701030927836,0.21649484536082475,0.24742268041237114,0.09278350515463918,0.020618556701030927
35,8055,1,0,2,4,12,10,14,11,1,55.0,0.01818181818181818,0.01818181818181818,0.0,0.03636363636363636,0.07272727272727272,0.21818181818181817,0.18181818181818182,0.2545454545454545,0.2,0.01818181818181818
36,8057,0,2,0,1,5,6,14,8,0,36.0,0.0,0.0,0.05555555555555555,0.0,0.027777777777777776,0.1388888888888889,0.16666666666666666,0.3888888888888889,0.2222222222222222,0.0
37,8059,0,1,1,1,1,8,0,0,0,12.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.6666666666666666,0.0,0.0,0.0
38,8060,1,2,4,9,10,11,14,5,1,57.0,0.017543859649122806,0.017543859649122806,0.03508771929824561,0.07017543859649122,0.15789473684210525,0.17543859649122806,0.19298245614035087,0.24561403508771928,0.08771929824561403,0.017543859649122806
39,8061,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40,8062,0,1,0,2,3,7,3,1,1,18.0,0.0,0.0,0.05555555555555555,0.0,0.1111111111111111,0.16666666666666666,0.3888888888888889,0.16666666666666666,0.05555555555555555,0.05555555555555555
41,8063,0,0,0,0,1,1,0,2,0,4.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.5,0.0
42,8065,0,1,1,0,0,2,2,2,1,9.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111
43,8066,0,1,0,2,2,5,2,2,1,15.0,0.0,0.0,0.06666666666666667,0.0,0.13333333333333333,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667
44,8067,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
45,8068,0,1,1,0,1,0,1,0,0,4.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0
46,8069,0,1,0,1,5,0,5,2,0,14.0,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.35714285714285715,0.0,0.35714285714285715,0.14285714285714285,0.0
47,8070,0,0,2,3,3,8,3,1,2,22.0,0.0,0.0,0.0,0.09090909090909091,0.13636363636363635,0.13636363636363635,0.36363636363636365,0.13636363636363635,0.045454545454545456,0.09090909090909091
48,8071,0,0,0,0,3,9,2,6,1,21.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.09523809523809523,0.2857142857142857,0.047619047619047616
49,8075,0,2,2,3,9,12,10,5,2,45.0,0.0,0.0,0.044444444444444446,0.044444444444444446,0.06666666666666667,0.2,0.26666666666666666,0.2222222222222222,0.1111111111111111,0.044444444444444446
50,8077,0,1,2,5,6,12,8,3,0,37.0,0.0,0.0,0.02702702702702703,0.05405405405405406,0.13513513513513514,0.16216216216216217,0.32432432432432434,0.21621621621621623,0.08108108108108109,0.0
51,8078,0,0,0,5,1,3,8,1,0,18.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.05555555555555555,0.16666666666666666,0.4444444444444444,0.05555555555555555,0.0
52,8079,0,0,1,1,2,0,3,2,0,9.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.3333333333333333,0.2222222222222222,0.0
53,8080,0,1,3,6,11,18,20,7,1,67.0,0.0,0.0,0.014925373134328358,0.04477611940298507,0.08955223880597014,0.16417910447761194,0.26865671641791045,0.29850746268656714,0.1044776119402985,0.014925373134328358
54,8081,1,1,6,11,12,16,6,10,0,63.0,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.09523809523809523,0.1746031746031746,0.19047619047619047,0.25396825396825395,0.09523809523809523,0.15873015873015872,0.0
55,8083,0,0,1,3,3,4,4,4,0,19.0,0.0,0.0,0.0,0.05263157894736842,0.15789473684210525,0.15789473684210525,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.0
56,8084,0,0,0,1,1,6,6,0,0,14.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.42857142857142855,0.42857142857142855,0.0,0.0
57,8085,0,0,2,1,5,8,11,3,0,30.0,0.0,0.0,0.0,0.06666666666666667,0.03333333333333333,0.16666666666666666,0.26666666666666666,0.36666666666666664,0.1,0.0
58,8086,0,1,0,1,3,3,1,2,0,11.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.0
59,8088,0,0,0,0,1,5,10,6,0,22.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.22727272727272727,0.45454545454545453,0.2727272727272727,0.0
60,8089,0,0,0,0,0,0,2,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
61,8090,0,0,0,1,2,0,1,2,0,6.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.3333333333333333,0.0
62,8091,0,1,3,0,12,1,5,0,0,22.0,0.0,0.0,0.045454545454545456,0.13636363636363635,0.0,0.5454545454545454,0.045454545454545456,0.22727272727272727,0.0,0.0
63,8093,0,0,0,1,1,5,3,3,0,13.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.38461538461538464,0.23076923076923078,0.23076923076923078,0.0
64,8094,0,2,5,10,5,10,5,5,1,43.0,0.0,0.0,0.046511627906976744,0.11627906976744186,0.23255813953488372,0.11627906976744186,0.23255813953488372,0.11627906976744186,0.11627906976744186,0.023255813953488372
65,8096,0,3,7,9,19,15,17,12,1,83.0,0.0,0.0,0.03614457831325301,0.08433734939759036,0.10843373493975904,0.2289156626506024,0.18072289156626506,0.20481927710843373,0.14457831325301204,0.012048192771084338
66,8097,0,2,1,2,1,2,2,1,0,11.0,0.0,0.0,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.0
67,8098,0,1,1,1,2,3,2,2,3,15.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.2,0.13333333333333333,0.13333333333333333,0.2
68,8100,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
69,8102,0,0,0,0,1,6,0,3,1,11.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.5454545454545454,0.0,0.2727272727272727,0.09090909090909091
70,8103,0,3,0,1,1,0,1,5,1,12.0,0.0,0.0,0.25,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.4166666666666667,0.08333333333333333
71,8104,1,0,0,2,1,1,0,0,1,6.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666
72,8105,0,0,0,1,2,3,8,6,1,21.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.09523809523809523,0.14285714285714285,0.38095238095238093,0.2857142857142857,0.047619047619047616
73,8106,0,0,1,1,2,8,5,4,3,24.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.3333333333333333,0.20833333333333334,0.16666666666666666,0.125
74,8107,0,1,1,1,3,6,7,5,1,25.0,0.0,0.0,0.04,0.04,0.04,0.12,0.24,0.28,0.2,0.04
75,8108,0,0,4,1,5,17,24,7,4,62.0,0.0,0.0,0.0,0.06451612903225806,0.016129032258064516,0.08064516129032258,0.27419354838709675,0.3870967741935484,0.11290322580645161,0.06451612903225806
76,8109,1,0,1,4,5,8,10,7,5,41.0,0.024390243902439025,0.024390243902439025,0.0,0.024390243902439025,0.0975609756097561,0.12195121951219512,0.1951219512195122,0.24390243902439024,0.17073170731707318,0.12195121951219512
77,8110,0,2,2,2,4,8,6,3,1,28.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.2857142857142857,0.21428571428571427,0.10714285714285714,0.03571428571428571
78,8302,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
79,8312,0,0,0,3,0,2,1,0,1,7.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285
80,8318,0,0,0,1,1,3,3,2,0,10.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.2,0.0
81,8322,0,0,0,0,1,3,2,1,0,7.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.0
82,8328,0,0,0,0,2,2,3,0,0,7.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,0.0
83,8343,0,0,0,0,0,0,2,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
84,8344,0,0,0,0,0,1,0,2,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0
85,8501,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
86,8505,0,0,2,3,4,9,11,4,0,33.0,0.0,0.0,0.0,0.06060606060606061,0.09090909090909091,0.12121212121212122,0.2727272727272727,0.3333333333333333,0.12121212121212122,0.0
87,8518,0,0,0,0,0,2,1,1,2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333
88,8530,0,0,0,0,1,12,12,9,3,37.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.32432432432432434,0.32432432432432434,0.24324324324324326,0.08108108108108109
89,8554,0,0,0,0,0,0,1,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5
90,8560,0,0,0,0,0,2,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
91,8601,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
92,8608,0,0,0,1,1,5,7,3,1,18.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.2777777777777778,0.3888888888888889,0.16666666666666666,0.05555555555555555
93,8609,1,1,1,1,2,5,3,3,0,17.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.29411764705882354,0.17647058823529413,0.17647058823529413,0.0
94,8610,0,3,3,1,7,10,2,10,0,36.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.027777777777777776,0.19444444444444445,0.2777777777777778,0.05555555555555555,0.2777777777777778,0.0
95,8611,0,0,1,2,3,10,17,5,3,41.0,0.0,0.0,0.0,0.024390243902439025,0.04878048780487805,0.07317073170731707,0.24390243902439024,0.4146341463414634,0.12195121951219512,0.07317073170731707
96,8618,0,1,2,3,2,3,7,6,0,24.0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.125,0.08333333333333333,0.125,0.2916666666666667,0.25,0.0
97,8619,0,1,0,2,1,5,5,3,0,17.0,0.0,0.0,0.058823529411764705,0.0,0.11764705882352941,0.058823529411764705,0.29411764705882354,0.29411764705882354,0.17647058823529413,0.0
98,8620,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99,8628,0,1,0,0,3,9,16,4,1,34.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.08823529411764706,0.2647058823529412,0.47058823529411764,0.11764705882352941,0.029411764705882353
100,8629,0,0,0,0,0,0,5,2,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0
101,8638,1,2,5,7,4,9,8,3,1,40.0,0.025,0.025,0.05,0.125,0.175,0.1,0.225,0.2,0.075,0.025
102,8648,0,0,0,2,0,1,4,1,0,8.0,0.0,0.0,0.0,0.0,0.25,0.0,0.125,0.5,0.125,0.0
103,8825,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
104,10426,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
105,18054,0,0,0,0,0,2,0,3,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.16666666666666666
106,18073,0,1,1,2,3,1,2,1,0,11.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.0
107,18074,0,0,0,0,0,2,1,0,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.25
