postal_code,State,City,CountyName,2021
33024,FL,Pembroke Pines,Broward County,360282
98012,WA,Bothell,Snohomish County,808495
48180,MI,Taylor,Wayne County,141610
77845,TX,College Station,Brazos County,290450
30318,GA,Atlanta,Fulton County,326859
44060,OH,Mentor,Lake County,223460
85364,AZ,Yuma,Yuma County,203864
95608,CA,Carmichael,Sacramento County,541026
43055,OH,Newark,Licking County,179865
11385,NY,New York,Queens County,727159
33647,FL,Tampa,Hillsborough County,386891
92677,CA,Laguna Niguel,Orange County,1085912
44256,OH,Medina,Medina County,290379
2148,MA,Malden,Middlesex County,568691
15601,PA,Greensburg,Westmoreland County,228370
80013,CO,Aurora,Arapahoe County,455091
90066,CA,Los Angeles,Los Angeles County,1681414
20906,MD,Silver Spring,Montgomery County,404993
47906,IN,West Lafayette,Tippecanoe County,284118
65807,MO,Springfield,Greene County,175707
6902,CT,Stamford,Fairfield County,459888
45011,OH,Hamilton,Butler County,273182
30188,GA,Woodstock,Cherokee County,352414
92336,CA,Fontana,San Bernardino County,599630
99301,WA,Pasco,Franklin County,347095
10468,NY,New York,Bronx County,329332
11373,NY,New York,Queens County,574806
65203,MO,Columbia,Boone County,283224
28078,NC,Huntersville,Mecklenburg County,406554
60620,IL,Chicago,Cook County,192431
46307,IN,Crown Point,Lake County,289772
95823,CA,Sacramento,Sacramento County,396585
92345,CA,Hesperia,San Bernardino County,357709
27610,NC,Raleigh,Wake County,266680
34135,FL,Bonita Springs,Lee County,369036
87120,NM,Albuquerque,Bernalillo County,272191
27410,NC,Greensboro,Guilford County,290500
75035,TX,Frisco,Collin County,516319
98103,WA,Seattle,King County,925153
77450,TX,Cinco Ranch,Fort Bend County,312260
95747,CA,Roseville,Placer County,620771
89121,NV,Las Vegas,Clark County,292524
27406,NC,Greensboro,Guilford County,169578
92804,CA,Anaheim,Orange County,757140
8753,NJ,Toms River,Ocean County,368743
75228,TX,Dallas,Dallas County,250990
92126,CA,San Diego,San Diego County,824468
10028,NY,New York,New York County,1419942
60634,IL,Chicago,Cook County,338543
20011,DC,Washington,District of Columbia,772616
43130,OH,Lancaster,Fairfield County,196791
76244,TX,Fort Worth,Tarrant County,336273
92503,CA,Riverside,Riverside County,532934
91911,CA,Chula Vista,San Diego County,653270
29732,SC,Rock Hill,York County,271921
32218,FL,Jacksonville,Duval County,250645
22191,VA,Woodbridge,Prince William County,398634
28314,NC,Fayetteville,Cumberland County,154218
32256,FL,Jacksonville,Duval County,272530
11233,NY,New York,Kings County,884706
23320,VA,Chesapeake,Chesapeake City,302055
40475,KY,Richmond,Madison County,223301
21740,MD,Hagerstown,Washington County,218914
92101,CA,San Diego,San Diego County,702690
90019,CA,Los Angeles,Los Angeles County,1318275
34711,FL,Clermont,Lake County,341642
30052,GA,Loganville,Gwinnett County,307287
38401,TN,Columbia,Maury County,282009
77095,TX,Houston,Harris County,277873
7002,NJ,Bayonne,Hudson County,450375
30041,GA,Cumming,Forsyth County,482003
60016,IL,Des Plaines,Cook County,293841
33009,FL,Hallandale,Broward County,244429
94536,CA,Fremont,Alameda County,1314853
89052,NV,Henderson,Clark County,525433
74012,OK,Broken Arrow,Tulsa County,203015
10457,NY,New York,Bronx County,516346
80634,CO,Greeley,Weld County,415224
43026,OH,Hilliard,Franklin County,302133
92592,CA,Temecula,Riverside County,646644
43230,OH,Gahanna,Franklin County,277045
89117,NV,Las Vegas,Clark County,410781
30080,GA,Smyrna,Cobb County,377099
20001,DC,Washington,District of Columbia,745388
27834,NC,Greenville,Pitt County,141848
90280,CA,South Gate,Los Angeles County,558567
29072,SC,Lexington,Lexington County,274206
46227,IN,Indianapolis,Marion County,195145
32244,FL,Jacksonville,Duval County,221797
21117,MD,Owings Mills,Baltimore County,318609
10027,NY,New York,New York County,824241
19111,PA,Philadelphia,Philadelphia County,250754
90201,CA,Bell,Los Angeles County,551369
91730,CA,Rancho Cucamonga,San Bernardino County,573875
48103,MI,Ann Arbor,Washtenaw County,436045
11236,NY,New York,Kings County,599821
75206,TX,Dallas,Dallas County,494644
90004,CA,Los Angeles,Los Angeles County,1547552
37128,TN,Murfreesboro,Rutherford County,346719
92109,CA,San Diego,San Diego County,1222636
30062,GA,Marietta,Cobb County,430576
60628,IL,Chicago,Cook County,150054
7093,NJ,West New York,Hudson County,363453
32822,FL,Orlando,Orange County,219902
30331,GA,Atlanta,Fulton County,243061
75217,TX,Dallas,Dallas County,177963
2360,MA,Plymouth,Plymouth County,485291
34953,FL,Port Saint Lucie,Saint Lucie County,317162
37130,TN,Murfreesboro,Rutherford County,292265
33186,FL,The Crossings,Miami-Dade County,392867
2155,MA,Medford,Middlesex County,707639
10701,NY,Yonkers,Westchester County,561540
33012,FL,Hialeah,Miami-Dade County,302251
91342,CA,Los Angeles,Los Angeles County,676781
90706,CA,Bellflower,Los Angeles County,638842
92335,CA,Fontana,San Bernardino County,466332
95123,CA,San Jose,Santa Clara County,1217963
92021,CA,El Cajon,San Diego County,657566
32174,FL,Ormond Beach,Volusia County,320893
