,postal_code,state_id,state,city,county_name,2021,All_Residential,Multi_Family_homes,Condo/Co-op,Single_Family_Homes,Towmhomes
14731,38564,TN,Tennessee,Granville,Jackson,355832.0,11,0,0,11,0
14732,6262,CT,Connecticut,Quinebaug,Windham,282780.0,5,0,0,5,0
14733,49261,MI,Michigan,Napoleon,Jackson,169175.0,10,0,0,10,0
14734,53039,WI,Wisconsin,Juneau,Dodge,202239.0,12,4,3,12,0
14735,1468,MA,Massachusetts,Templeton,Worcester,306783.0,12,0,0,12,12
14736,37701,TN,Tennessee,Alcoa,Blount,202011.0,12,0,8,12,0
14737,70739,LA,Louisiana,Greenwell Springs,East Baton Rouge,271358.0,12,0,0,12,0
14738,20667,MD,Maryland,Park Hall,St. Mary's,371429.0,7,0,0,7,0
14739,97350,OR,Oregon,Idanha,Marion,195300.0,10,0,0,10,0
14740,29940,SC,South Carolina,Seabrook,Beaufort,657444.0,9,0,0,9,0
14741,48141,MI,Michigan,Inkster,Wayne,70420.0,12,1,0,12,0
14742,97063,OR,Oregon,Tygh Valley,Wasco,219545.0,11,0,0,11,0
14743,95616,CA,California,Davis,Yolo,732202.0,12,12,12,12,10
14744,50218,IA,Iowa,Patterson,Madison,17000.0,3,0,0,3,0
14745,12487,NY,New York,Ulster Park,Ulster,542286.0,10,0,0,10,0
14746,17945,PA,Pennsylvania,Locustdale,Columbia,22000.0,1,0,0,0,1
14747,10532,NY,New York,Hawthorne,Westchester,595600.0,12,0,11,12,0
14748,11429,NY,New York,Queens Village,Queens,656896.0,12,12,0,12,5
14749,49331,MI,Michigan,Lowell,Kent,289684.0,12,6,9,12,0
14750,6070,CT,Connecticut,Simsbury,Hartford,304701.0,12,0,12,12,0
14751,75691,TX,Texas,Tatum,Rusk,525000.0,3,0,0,3,0
14752,31750,GA,Georgia,Fitzgerald,Ben Hill,109354.0,12,0,0,12,0
14753,19810,DE,Delaware,Wilmington,New Castle,302864.0,12,0,12,12,12
14754,29405,SC,South Carolina,North Charleston,Charleston,319481.0,12,12,12,12,12
14755,99341,WA,Washington,Lind,Adams,137182.0,11,0,0,11,0
14756,66010,KS,Kansas,Blue Mound,Linn,157175.0,4,0,0,4,0
14757,98572,WA,Washington,Pe Ell,Lewis,280986.0,12,0,0,12,0
14758,23089,VA,Virginia,Lanexa,New Kent,334240.0,12,0,0,12,0
14759,28747,NC,North Carolina,Lake Toxaway,Transylvania,583810.0,12,0,10,12,0
14760,60145,IL,Illinois,Kingston,DeKalb,209755.0,12,5,0,12,0
14761,55343,MN,Minnesota,Hopkins,Hennepin,308067.0,12,10,12,12,12
14762,48126,MI,Michigan,Dearborn,Wayne,188924.0,12,12,12,12,4
14763,45068,OH,Ohio,Waynesville,Warren,279132.0,12,3,5,12,0
14764,87573,NM,New Mexico,Tererro,San Miguel,550000.0,3,0,0,3,0
14765,14885,NY,New York,Troupsburg,Steuben,104276.0,8,0,0,8,0
14766,80454,CO,Colorado,Indian Hills,Jefferson,658000.0,12,0,0,12,0
14767,28023,NC,North Carolina,China Grove,Rowan,236648.0,12,3,0,12,0
14768,49066,MI,Michigan,Leonidas,St. Joseph,138111.0,9,0,0,9,0
14769,80002,CO,Colorado,Arvada,Jefferson,519248.0,12,9,12,12,12
14770,14839,NY,New York,Greenwood,Steuben,144900.0,3,0,0,3,0
14771,70072,LA,Louisiana,Marrero,Jefferson,181428.0,12,12,1,12,0
14772,8540,NJ,New Jersey,Princeton,Mercer,598303.0,12,7,12,12,12
14773,26823,WV,West Virginia,Capon Springs,Hampshire,215000.0,2,0,0,2,0
14774,21034,MD,Maryland,Darlington,Harford,280362.0,12,0,0,12,0
14775,78040,TX,Texas,Laredo,Webb,111250.0,4,0,0,4,0
14776,60958,IL,Illinois,Pembroke Township,Kankakee,80172.0,9,0,0,9,0
14777,63367,MO,Missouri,Lake Saint Louis,St. Charles,314506.0,12,0,9,12,0
14778,98605,WA,Washington,Bingen,Klickitat,474341.0,11,0,0,11,0
14779,12302,NY,New York,Schenectady,Schenectady,215914.0,12,5,12,12,11
14780,3820,NH,New Hampshire,Dover,Strafford,332711.0,12,12,12,12,12
14781,37878,TN,Tennessee,Tallassee,Blount,171604.0,12,0,0,12,0
14782,27018,NC,North Carolina,East Bend,Yadkin,202944.0,12,3,0,12,0
14783,56518,MN,Minnesota,Bluffton,Otter Tail,145000.0,3,0,0,3,0
14784,79556,TX,Texas,Sweetwater,Nolan,204004.0,12,0,0,12,0
14785,48048,MI,Michigan,New Haven,Macomb,236696.0,12,0,6,12,0
14786,73003,OK,Oklahoma,Edmond,Oklahoma,188193.0,12,12,8,12,12
14787,29321,SC,South Carolina,Buffalo,Union,205000.0,3,0,0,3,0
14788,84308,UT,Utah,Cornish,Cache,425111.0,9,0,0,9,0
14789,97020,OR,Oregon,Donald,Marion,379583.0,12,0,0,12,0
