postal_code,City,State,CountyName,2021,total_restaurants,total_reviews,avg_rating,total_delivery,total_pickup,total_rest_reservation,total_price_1,total_price_2,total_price_3,total_price_4,total_0.0_stars,total_1.0_stars,total_1.5_stars,total_2.0_stars,total_2.5_stars,total_3.0_stars,total_3.5_stars,total_4.0_stars,total_4.5_stars,total_5.0_stars,num_rest_types,Average State House Price,Neighborhood Indicator,Neighborhood Tiers
87714.0,Cimarron,NM,Colfax County,132252.0,7,154.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,14,195958.0,0.6748997234101185,3
87728.0,Maxwell,NM,Colfax County,88559.0,1,19.0,4.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,195958.0,0.45192847446901885,3
87740.0,Raton,NM,Colfax County,102658.0,24,1203.0,3.375,0.0,0.0,0.0,11.0,6.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,4.0,4.0,5.0,1.0,25,195958.0,0.523877565600792,3
87742.0,Rociada,NM,San Miguel County,268711.0,2,9.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,195958.0,1.3712683330101347,2
87747.0,Springer,NM,Colfax County,84512.0,6,104.0,3.58333333333333,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,9,195958.0,0.4312760897743394,3
87901.0,Truth or Consequences,NM,Sierra County,97218.0,23,1068.0,3.80434782608696,0.0,0.0,0.0,11.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,6.0,6.0,2.0,24,195958.0,0.49611651476336766,3
87930.0,Arrey,NM,Sierra County,80879.0,2,10.0,2.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,195958.0,0.41273640269853745,3
87935.0,Elephant Butte,NM,Sierra County,155813.0,5,142.0,3.7,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,7,195958.0,0.7951346717153676,2
87942.0,Williamsburg,NM,Sierra County,98126.0,1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,195958.0,0.5007501607487319,3
87943.0,Winston,NM,Sierra County,90411.0,1,2.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,195958.0,0.4613794792761714,3
88008.0,Santa Teresa,NM,Dona Ana County,238467.0,2,76.0,3.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4,195958.0,1.2169291378764837,2
88023.0,Bayard,NM,Grant County,82018.0,5,23.0,3.3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,6,195958.0,0.41854887271762314,3
88029.0,Columbus,NM,Luna County,96284.0,4,40.0,4.125,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,6,195958.0,0.4913501872850305,3
88041.0,Hanover,NM,Grant County,110483.0,1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,195958.0,0.5638095918513151,3
88042.0,Hillsboro,NM,Sierra County,159941.0,2,22.0,4.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3,195958.0,0.8162004102920013,2
88043.0,Hurley,NM,Grant County,72084.0,1,10.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,195958.0,0.367854336133253,3
88049.0,Hanover,NM,Grant County,171670.0,2,6.0,4.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,195958.0,0.8760550730258525,2
88061.0,Silver City,NM,Grant County,187844.0,51,1495.0,3.50980392156863,3.0,3.0,0.0,22.0,12.0,1.0,0.0,0.0,0.0,2.0,2.0,6.0,6.0,13.0,14.0,5.0,3.0,29,195958.0,0.9585931679237387,2
88063.0,Sunland Park,NM,Dona Ana County,153035.0,3,157.0,4.5,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6,195958.0,0.7809581645046387,2
88081.0,Chaparral,NM,Dona Ana County,143501.0,4,24.0,4.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,7,195958.0,0.7323048816583145,3
88201.0,Roswell,NM,Chaves County,182622.0,52,2760.0,3.72115384615385,38.0,11.0,0.0,15.0,20.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,8.0,4.0,11.0,8.0,11.0,34,195958.0,0.9319446003735494,2
88203.0,Roswell,NM,Chaves County,100277.0,29,853.0,4.0,21.0,2.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0,4.0,10.0,4.0,20,195958.0,0.5117270027250738,3
88230.0,Dexter,NM,Chaves County,114908.0,2,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,195958.0,0.5863909613284479,3
88232.0,Hagerman,NM,Chaves County,95746.0,2,6.0,4.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,195958.0,0.4886047010073587,3
88310.0,Alamogordo,NM,Otero County,149839.0,67,3405.0,3.13432835820896,4.0,7.0,1.0,43.0,13.0,0.0,0.0,0.0,1.0,5.0,6.0,11.0,13.0,12.0,11.0,6.0,2.0,39,195958.0,0.764648547137652,2
88312.0,Alto,NM,Lincoln County,434416.0,4,183.0,3.25,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2,195958.0,2.216883209667378,1
88317.0,Timberon,NM,Otero County,186553.0,12,1027.0,4.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,4.0,15,195958.0,0.9520050214841956,2
88325.0,Alamogordo,NM,Otero County,229293.0,1,34.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,195958.0,1.1701129833944008,2
88337.0,La Luz,NM,Otero County,188325.0,1,75.0,4.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,195958.0,0.961047775543739,2
88345.0,Ruidoso,NM,Lincoln County,249076.0,55,5495.0,3.51818181818182,0.0,2.0,0.0,21.0,18.0,3.0,0.0,0.0,0.0,1.0,2.0,7.0,9.0,14.0,10.0,11.0,1.0,35,195958.0,1.2710682901438064,2
88346.0,Ruidoso Downs,NM,Lincoln County,173168.0,5,279.0,4.1,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,7,195958.0,0.8836995682748344,2
88350.0,Timberon,NM,Otero County,117251.0,2,3.0,3.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4,195958.0,0.5983476050990518,3
88351.0,Tinnie,NM,Lincoln County,249418.0,1,21.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,195958.0,1.2728135620898355,2
88352.0,Tularosa,NM,Otero County,108156.0,7,227.0,3.35714285714286,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,10,195958.0,0.551934598230233,3
89002.0,Henderson,NV,Clark County,399029.0,16,2024.0,3.53125,9.0,7.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,3.0,4.0,0.0,20,385625.0,1.0347591572123176,2
89004.0,Las Vegas,NV,Clark County,631425.0,1,251.0,4.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,385625.0,1.6374068071312804,1
89005.0,Boulder City,NV,Clark County,397635.0,28,6641.0,4.16071428571429,20.0,5.0,0.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,10.0,11.0,2.0,28,385625.0,1.0311442463533225,2
89011.0,Henderson,NV,Clark County,396191.0,17,3023.0,3.85294117647059,6.0,3.0,0.0,2.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,6.0,3.0,1.0,30,385625.0,1.0273996758508914,2
89012.0,Henderson,NV,Clark County,433277.0,40,13097.0,4.225,36.0,21.0,0.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,12.0,19.0,3.0,37,385625.0,1.123570826580227,2
89014.0,Henderson,NV,Clark County,359562.0,77,26124.0,4.06493506493506,60.0,49.0,1.0,15.0,47.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,15.0,29.0,25.0,5.0,59,385625.0,0.9324136142625608,2
89015.0,Henderson,NV,Clark County,339173.0,56,9399.0,3.71428571428571,41.0,23.0,2.0,19.0,22.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,8.0,8.0,19.0,11.0,3.0,35,385625.0,0.8795410048622366,2
89019.0,Jean,NV,Clark County,219829.0,3,1152.0,3.66666666666667,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4,385625.0,0.5700589951377634,3
89030.0,North Las Vegas,NV,Clark County,237672.0,13,4567.0,4.11538461538461,10.0,3.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,2.0,21,385625.0,0.6163293354943274,3
89031.0,North Las Vegas,NV,Clark County,335856.0,5,1129.0,3.8,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,10,385625.0,0.8709393841166937,2
89032.0,North Las Vegas,NV,Clark County,319061.0,14,2589.0,4.0,12.0,8.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,6.0,0.0,21,385625.0,0.8273867098865478,2
89044.0,Henderson,NV,Clark County,469736.0,24,2153.0,3.3125,16.0,6.0,0.0,6.0,10.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,7.0,4.0,3.0,0.0,25,385625.0,1.2181160453808753,2
89045.0,Round Mountain,NV,Nye County,140929.0,2,7.0,4.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4,385625.0,0.36545607779578604,3
89052.0,Henderson,NV,Clark County,519594.0,89,29306.0,3.58426966292135,73.0,51.0,3.0,17.0,50.0,0.0,1.0,0.0,1.0,4.0,6.0,9.0,3.0,15.0,30.0,18.0,3.0,52,385625.0,1.3474074554294975,2
89074.0,Henderson,NV,Clark County,394517.0,22,6973.0,4.15909090909091,19.0,17.0,0.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,4.0,3.0,35,385625.0,1.0230586709886549,2
89084.0,North Las Vegas,NV,Clark County,384486.0,7,2014.0,3.57142857142857,7.0,4.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,15,385625.0,0.9970463533225283,2
89101.0,Las Vegas,NV,Clark County,250596.0,64,44203.0,4.2421875,51.0,27.0,4.0,11.0,41.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,25.0,27.0,6.0,47,385625.0,0.6498437601296596,3
89102.0,Las Vegas,NV,Clark County,310895.0,77,49244.0,4.25324675324675,65.0,43.0,2.0,9.0,51.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,29.0,39.0,3.0,56,385625.0,0.8062106969205834,2
89103.0,Las Vegas,NV,Clark County,220466.0,45,34124.0,4.21111111111111,38.0,22.0,1.0,3.0,32.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,21.0,17.0,3.0,45,385625.0,0.5717108589951377,3
89104.0,Las Vegas,NV,Clark County,295162.0,41,20186.0,4.31707317073171,35.0,21.0,2.0,8.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,8.0,21.0,6.0,44,385625.0,0.7654119935170178,2
89106.0,Las Vegas,NV,Clark County,267272.0,19,1776.0,2.97368421052632,14.0,9.0,1.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,2.0,3.0,2.0,0.0,24,385625.0,0.6930878444084279,3
89107.0,Las Vegas,NV,Clark County,284876.0,12,5269.0,3.91666666666667,11.0,7.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,5.0,0.0,16,385625.0,0.7387384116693679,3
89108.0,Las Vegas,NV,Clark County,288580.0,22,5423.0,3.93181818181818,21.0,17.0,0.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,5.0,7.0,1.0,24,385625.0,0.7483435980551053,3
89109.0,Las Vegas,NV,Clark County,327720.0,199,272071.0,3.94472361809045,126.0,41.0,7.0,9.0,106.0,33.0,29.0,0.0,0.0,0.0,2.0,3.0,6.0,39.0,105.0,42.0,2.0,75,385625.0,0.8498411669367909,2
89110.0,Las Vegas,NV,Clark County,283670.0,16,2222.0,3.78125,11.0,7.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,6.0,0.0,22,385625.0,0.735611021069692,3
89113.0,Las Vegas,NV,Clark County,389186.0,37,17711.0,4.12162162162162,33.0,27.0,1.0,4.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,14.0,14.0,4.0,37,385625.0,1.0092343598055105,2
89115.0,Las Vegas,NV,Clark County,253818.0,9,1272.0,4.0,8.0,4.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,14,385625.0,0.6581990275526742,3
89117.0,Las Vegas,NV,Clark County,406156.0,79,31141.0,4.05063291139241,68.0,51.0,2.0,12.0,53.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,12.0,36.0,23.0,4.0,65,385625.0,1.0532408427876823,2
89118.0,Las Vegas,NV,Clark County,290314.0,32,16631.0,4.296875,22.0,19.0,2.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,16.0,4.0,47,385625.0,0.7528401944894652,3
89119.0,Las Vegas,NV,Clark County,236769.0,69,41989.0,4.05072463768116,52.0,36.0,3.0,4.0,52.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,8.0,28.0,21.0,5.0,60,385625.0,0.6139876823338736,3
89120.0,Las Vegas,NV,Clark County,336252.0,18,7723.0,4.33333333333333,17.0,14.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.0,23,385625.0,0.8719662884927066,2
89121.0,Las Vegas,NV,Clark County,289125.0,75,14690.0,4.11333333333333,62.0,49.0,2.0,25.0,34.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,5.0,27.0,23.0,11.0,56,385625.0,0.7497568881685576,3
89122.0,Las Vegas,NV,Clark County,289184.0,19,2926.0,3.78947368421053,17.0,8.0,1.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,6.0,3.0,1.0,18,385625.0,0.749909886547812,3
89123.0,Las Vegas,NV,Clark County,375599.0,44,18989.0,4.20454545454545,39.0,24.0,1.0,10.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,15.0,17.0,5.0,44,385625.0,0.9740006482982172,2
89124.0,Mount Charleston,NV,Clark County,475117.0,8,574.0,3.0625,3.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,9,385625.0,1.2320700162074554,2
89128.0,Las Vegas,NV,Clark County,329324.0,64,17174.0,3.9296875,55.0,34.0,2.0,16.0,28.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,6.0,10.0,17.0,17.0,8.0,56,385625.0,0.8540006482982172,2
89129.0,Las Vegas,NV,Clark County,374350.0,36,7203.0,3.90277777777778,32.0,25.0,0.0,11.0,18.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,16.0,6.0,4.0,42,385625.0,0.9707617504051864,2
89130.0,Las Vegas,NV,Clark County,368725.0,53,11971.0,4.02830188679245,45.0,29.0,1.0,8.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,10.0,18.0,14.0,6.0,50,385625.0,0.9561750405186386,2
89131.0,Las Vegas,NV,Clark County,445194.0,37,6715.0,3.39189189189189,29.0,19.0,0.0,21.0,13.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,5.0,10.0,9.0,2.0,2.0,33,385625.0,1.1544739059967586,2
89134.0,Las Vegas,NV,Clark County,420678.0,14,3820.0,4.10714285714286,13.0,11.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,7.0,1.0,18,385625.0,1.0908991896272284,2
89135.0,Las Vegas,NV,Clark County,550136.0,87,27888.0,3.5,71.0,47.0,1.0,24.0,44.0,6.0,1.0,0.0,1.0,1.0,4.0,8.0,14.0,19.0,32.0,5.0,3.0,54,385625.0,1.4266087520259318,1
89138.0,Las Vegas,NV,Clark County,621614.0,1,29.0,4.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,385625.0,1.6119649918962722,1
89139.0,Las Vegas,NV,Clark County,385625.0,57,19845.0,4.09649122807018,44.0,35.0,1.0,8.0,38.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,6.0,21.0,25.0,2.0,56,385625.0,1.0,2
89141.0,Las Vegas,NV,Clark County,437586.0,33,10720.0,3.21212121212121,30.0,21.0,0.0,14.0,13.0,0.0,1.0,0.0,0.0,3.0,6.0,3.0,3.0,4.0,8.0,6.0,0.0,36,385625.0,1.1347448946515397,2
